Semester: Fall 2023; Course: Course; Title: Title; Units: Units; Lec/Sec: Lec/Sec; Days: Days; Begin: Begin; End: End; Bldg/Room: Bldg/Room; Location: Location; Instructor(s): Instructor(s); 
Semester: Fall 2023; Course: Architecture; Title: Title; Units: Units; Lec/Sec: ; Days: ; Begin: ; End: ; Bldg/Room: ; Location: ; Instructor(s): ; 
Semester: Fall 2023; Course: 48050; Title: Study Abroad; Units: 0.0; Lec/Sec: A; Days: TBA; Begin: ; End: ; Bldg/Room: DNM DNM; Location: Pittsburgh, Pennsylvania; Instructor(s): Instructor TBA; 
Semester: Fall 2023; Course: 48095; Title: Spatial Concepts for Non-Architecture Majors; Units: 10.0; Lec/Sec: A; Days: TR; Begin: 01:00PM; End: 02:50PM; Bldg/Room: CFA 211; Location: Pittsburgh, Pennsylvania; Instructor(s): Barbuto; 
Semester: Fall 2023; Course: 48100; Title: Architecture Design Studio: POIESIS STUDIO 1; Units: 15.0; Lec/Sec: Lec; Days: MWF; Begin: 02:00PM; End: 04:50PM; Bldg/Room: MM A14; Location: Pittsburgh, Pennsylvania; Instructor(s): McFarland; 
Semester: Fall 2023; Course: 48100; Title: Architecture Design Studio: POIESIS STUDIO 1; Units: 15.0; Lec/Sec: A; Days: MWF; Begin: 02:00PM; End: 04:50PM; Bldg/Room: CFA 200; Location: Pittsburgh, Pennsylvania; Instructor(s): Markiewicz; 
Semester: Fall 2023; Course: 48100; Title: Architecture Design Studio: POIESIS STUDIO 1; Units: 15.0; Lec/Sec: B; Days: MWF; Begin: 02:00PM; End: 04:50PM; Bldg/Room: CFA 200; Location: Pittsburgh, Pennsylvania; Instructor(s): Tarannum; 
Semester: Fall 2023; Course: 48100; Title: Architecture Design Studio: POIESIS STUDIO 1; Units: 15.0; Lec/Sec: C; Days: MWF; Begin: 02:00PM; End: 04:50PM; Bldg/Room: CFA 200; Location: Pittsburgh, Pennsylvania; Instructor(s): Rafson; 
Semester: Fall 2023; Course: 48100; Title: Architecture Design Studio: POIESIS STUDIO 1; Units: 15.0; Lec/Sec: D; Days: MWF; Begin: 02:00PM; End: 04:50PM; Bldg/Room: CFA 200; Location: Pittsburgh, Pennsylvania; Instructor(s): Wood-Sternburgh; 
Semester: Fall 2023; Course: 48100; Title: Architecture Design Studio: POIESIS STUDIO 1; Units: 15.0; Lec/Sec: E; Days: MWF; Begin: 02:00PM; End: 04:50PM; Bldg/Room: CFA 200; Location: Pittsburgh, Pennsylvania; Instructor(s): Instructor TBA; 
Semester: Fall 2023; Course: 48100; Title: Architecture Design Studio: POIESIS STUDIO 1; Units: 15.0; Lec/Sec: F; Days: MWF; Begin: 02:00PM; End: 04:50PM; Bldg/Room: CFA 200; Location: Pittsburgh, Pennsylvania; Instructor(s): Instructor TBA; 
Semester: Fall 2023; Course: 48100; Title: Architecture Design Studio: POIESIS STUDIO 1; Units: 15.0; Lec/Sec: G; Days: MWF; Begin: 02:00PM; End: 04:50PM; Bldg/Room: CFA 200; Location: Pittsburgh, Pennsylvania; Instructor(s): Instructor TBA; 
Semester: Fall 2023; Course: 48104; Title: Shop Skills; Units: VAR; Lec/Sec: A1; Days: MW; Begin: 10:00AM; End: 10:50AM; Bldg/Room: CFA A9; Location: Pittsburgh, Pennsylvania; Instructor(s): Holmes; 
Semester: Fall 2023; Course: 48104; Title: Shop Skills; Units: VAR; Lec/Sec: A2; Days: MW; Begin: 10:00AM; End: 10:50AM; Bldg/Room: CFA A9; Location: Pittsburgh, Pennsylvania; Instructor(s): Holmes; 
Semester: Fall 2023; Course: 48104; Title: Shop Skills; Units: VAR; Lec/Sec: B1; Days: MW; Begin: 11:00AM; End: 11:50AM; Bldg/Room: CFA A9; Location: Pittsburgh, Pennsylvania; Instructor(s): Holmes; 
Semester: Fall 2023; Course: 48104; Title: Shop Skills; Units: VAR; Lec/Sec: B2; Days: MW; Begin: 11:00AM; End: 11:50AM; Bldg/Room: CFA A9; Location: Pittsburgh, Pennsylvania; Instructor(s): Holmes; 
Semester: Fall 2023; Course: 48104; Title: Shop Skills; Units: VAR; Lec/Sec: C1; Days: MW; Begin: 06:00PM; End: 06:50PM; Bldg/Room: CFA A9; Location: Pittsburgh, Pennsylvania; Instructor(s): Sontag; 
Semester: Fall 2023; Course: 48104; Title: Shop Skills; Units: VAR; Lec/Sec: C2; Days: MW; Begin: 06:00PM; End: 06:50PM; Bldg/Room: CFA A9; Location: Pittsburgh, Pennsylvania; Instructor(s): Sontag; 
Semester: Fall 2023; Course: 48104; Title: Shop Skills; Units: VAR; Lec/Sec: D1; Days: MW; Begin: 07:30PM; End: 08:20PM; Bldg/Room: CFA A9; Location: Pittsburgh, Pennsylvania; Instructor(s): Sontag; 
Semester: Fall 2023; Course: 48104; Title: Shop Skills; Units: VAR; Lec/Sec: D2; Days: MW; Begin: 07:30PM; End: 08:20PM; Bldg/Room: CFA A9; Location: Pittsburgh, Pennsylvania; Instructor(s): Sontag; 
Semester: Fall 2023; Course: 48104; Title: Shop Skills; Units: VAR; Lec/Sec: E2; Days: TR; Begin: 03:00PM; End: 03:50PM; Bldg/Room: CFA A9; Location: Pittsburgh, Pennsylvania; Instructor(s): Holmes; 
Semester: Fall 2023; Course: 48116; Title: Introduction to Building Performance; Units: 3.0; Lec/Sec: A; Days: T; Begin: 11:00AM; End: 12:20PM; Bldg/Room: MM 303; Location: Pittsburgh, Pennsylvania; Instructor(s): Sawyer; 
Semester: Fall 2023; Course: 48200; Title: Architecture Design Studio: POIESIS STUDIO 3; Units: 18.0; Lec/Sec: Lec; Days: MWF; Begin: 02:00PM; End: 04:50PM; Bldg/Room: MM A14; Location: Pittsburgh, Pennsylvania; Instructor(s): Garofalo; 
Semester: Fall 2023; Course: 48200; Title: Architecture Design Studio: POIESIS STUDIO 3; Units: 18.0; Lec/Sec: A; Days: MWF; Begin: 02:00PM; End: 04:50PM; Bldg/Room: CFA 200; Location: Pittsburgh, Pennsylvania; Instructor(s): Bista; 
Semester: Fall 2023; Course: 48200; Title: Architecture Design Studio: POIESIS STUDIO 3; Units: 18.0; Lec/Sec: B; Days: MWF; Begin: 02:00PM; End: 04:50PM; Bldg/Room: CFA 200; Location: Pittsburgh, Pennsylvania; Instructor(s): Kwon; 
Semester: Fall 2023; Course: 48200; Title: Architecture Design Studio: POIESIS STUDIO 3; Units: 18.0; Lec/Sec: C; Days: MWF; Begin: 02:00PM; End: 04:50PM; Bldg/Room: CFA 200; Location: Pittsburgh, Pennsylvania; Instructor(s): Patel; 
Semester: Fall 2023; Course: 48200; Title: Architecture Design Studio: POIESIS STUDIO 3; Units: 18.0; Lec/Sec: D; Days: MWF; Begin: 02:00PM; End: 04:50PM; Bldg/Room: CFA 200; Location: Pittsburgh, Pennsylvania; Instructor(s): Rodriguez Ladron De Guevara; 
Semester: Fall 2023; Course: 48200; Title: Architecture Design Studio: POIESIS STUDIO 3; Units: 18.0; Lec/Sec: E; Days: MWF; Begin: 02:00PM; End: 04:50PM; Bldg/Room: CFA 200; Location: Pittsburgh, Pennsylvania; Instructor(s): Schmidt; 
Semester: Fall 2023; Course: 48215; Title: Materials & Assembly; Units: 9.0; Lec/Sec: A; Days: MWF; Begin: 10:00AM; End: 10:50AM; Bldg/Room: POS 151; Location: Pittsburgh, Pennsylvania; Instructor(s): Damiani; 
Semester: Fall 2023; Course: 48222; Title: Explorations in Craft: Soft Forms, Stable Structures; Units: 9.0; Lec/Sec: A; Days: WF; Begin: 11:00AM; End: 12:20PM; Bldg/Room: CFA 206A; Location: Pittsburgh, Pennsylvania; Instructor(s): Garofalo; 
Semester: Fall 2023; Course: 48250; Title: Urbanism and the Social Production of Space; Units: 9.0; Lec/Sec: A; Days: TR; Begin: 09:30AM; End: 10:50AM; Bldg/Room: MM 303; Location: Pittsburgh, Pennsylvania; Instructor(s): Kwon; 
Semester: Fall 2023; Course: 48300; Title: Architecture Design Studio: Praxis Studio 1; Units: 18.0; Lec/Sec: Lec; Days: MWF; Begin: 02:00PM; End: 04:50PM; Bldg/Room: MM A14; Location: Pittsburgh, Pennsylvania; Instructor(s): Bizon; 
Semester: Fall 2023; Course: 48300; Title: Architecture Design Studio: Praxis Studio 1; Units: 18.0; Lec/Sec: A; Days: MWF; Begin: 02:00PM; End: 04:50PM; Bldg/Room: MM 312; Location: Pittsburgh, Pennsylvania; Instructor(s): Abraham, Achnani, Sindi, Tannir; 
Semester: Fall 2023; Course: 48300; Title: Architecture Design Studio: Praxis Studio 1; Units: 18.0; Lec/Sec: B; Days: MWF; Begin: 02:00PM; End: 04:50PM; Bldg/Room: MM 312; Location: Pittsburgh, Pennsylvania; Instructor(s): Achnani; 
Semester: Fall 2023; Course: 48300; Title: Architecture Design Studio: Praxis Studio 1; Units: 18.0; Lec/Sec: C; Days: MWF; Begin: 02:00PM; End: 04:50PM; Bldg/Room: MM 312; Location: Pittsburgh, Pennsylvania; Instructor(s): Sindi; 
Semester: Fall 2023; Course: 48300; Title: Architecture Design Studio: Praxis Studio 1; Units: 18.0; Lec/Sec: D; Days: MWF; Begin: 02:00PM; End: 04:50PM; Bldg/Room: MM 312; Location: Pittsburgh, Pennsylvania; Instructor(s): Tannir; 
Semester: Fall 2023; Course: 48307; Title: Carnival Pavilion; Units: VAR; Lec/Sec: A1; Days: W; Begin: 07:00PM; End: 08:20PM; Bldg/Room: CFA 211; Location: Pittsburgh, Pennsylvania; Instructor(s): Achnani; 
Semester: Fall 2023; Course: 48307; Title: Carnival Pavilion; Units: VAR; Lec/Sec: A2; Days: W; Begin: 07:00PM; End: 08:20PM; Bldg/Room: CFA 211; Location: Pittsburgh, Pennsylvania; Instructor(s): Khan; 
Semester: Fall 2023; Course: 48307; Title: Carnival Pavilion; Units: VAR; Lec/Sec: B2; Days: W; Begin: 07:00PM; End: 08:20PM; Bldg/Room: CFA 211; Location: Pittsburgh, Pennsylvania; Instructor(s): Achnani; 
Semester: Fall 2023; Course: 48310; Title: Prototyping Stories: Experimental Children's Book and Vis Dev as An Architectura; Units: 9.0; Lec/Sec: A; Days: M; Begin: 11:00AM; End: 12:20PM; Bldg/Room: CFA 211; Location: Pittsburgh, Pennsylvania; Instructor(s): Yang; 
Semester: Fall 2023; Course: 48315; Title: Environment I: Climate & Energy in Architecture; Units: 9.0; Lec/Sec: Lec; Days: TR; Begin: 03:30PM; End: 04:50PM; Bldg/Room: MM 103; Location: Pittsburgh, Pennsylvania; Instructor(s): Loftness, Li; 
Semester: Fall 2023; Course: 48315; Title: Environment I: Climate & Energy in Architecture; Units: 9.0; Lec/Sec: A; Days: T; Begin: 11:00AM; End: 12:20PM; Bldg/Room: MM 107; Location: Pittsburgh, Pennsylvania; Instructor(s): Loftness, Li; 
Semester: Fall 2023; Course: 48315; Title: Environment I: Climate & Energy in Architecture; Units: 9.0; Lec/Sec: B; Days: T; Begin: 07:00PM; End: 08:20PM; Bldg/Room: MM 103; Location: Pittsburgh, Pennsylvania; Instructor(s): Loftness, Li; 
Semester: Fall 2023; Course: 48356; Title: Color Drawing; Units: 9.0; Lec/Sec: A; Days: W; Begin: 08:00AM; End: 10:50AM; Bldg/Room: CFA 211; Location: Pittsburgh, Pennsylvania; Instructor(s): Cooper; 
Semester: Fall 2023; Course: 48374; Title: History of Architecture in the Islamic World- A Primer; Units: 9.0; Lec/Sec: A; Days: MW; Begin: 09:30AM; End: 10:50AM; Bldg/Room: MM 409; Location: Pittsburgh, Pennsylvania; Instructor(s): Torello; 
Semester: Fall 2023; Course: 48386; Title: PORTFOLIO & RESUME PREPARATION (UG); Units: 3.0; Lec/Sec: A1; Days: F; Begin: 11:00AM; End: 12:20PM; Bldg/Room: MM 409; Location: Pittsburgh, Pennsylvania; Instructor(s): Abraham; 
Semester: Fall 2023; Course: 48400; Title: Architecture Design Studio: Praxis Studio 3; Units: 18.0; Lec/Sec: Lec; Days: TR; Begin: 01:00PM; End: 03:20PM; Bldg/Room: MM 103; Location: Pittsburgh, Pennsylvania; Instructor(s): Damiani; 
Semester: Fall 2023; Course: 48400; Title: Architecture Design Studio: Praxis Studio 3; Units: 18.0; Lec/Sec: A; Days: TR; Begin: 01:00PM; End: 04:50PM; Bldg/Room: MM 312; Location: Pittsburgh, Pennsylvania; Instructor(s): Cochran; 
Semester: Fall 2023; Course: 48400; Title: Architecture Design Studio: Praxis Studio 3; Units: 18.0; Lec/Sec: B; Days: TR; Begin: 01:00PM; End: 04:50PM; Bldg/Room: MM 312; Location: Pittsburgh, Pennsylvania; Instructor(s): Damiani; 
Semester: Fall 2023; Course: 48400; Title: Architecture Design Studio: Praxis Studio 3; Units: 18.0; Lec/Sec: C; Days: TR; Begin: 01:00PM; End: 04:50PM; Bldg/Room: MM 312; Location: Pittsburgh, Pennsylvania; Instructor(s): Lee; 
Semester: Fall 2023; Course: 48400; Title: Architecture Design Studio: Praxis Studio 3; Units: 18.0; Lec/Sec: D; Days: TR; Begin: 01:00PM; End: 04:50PM; Bldg/Room: MM 312; Location: Pittsburgh, Pennsylvania; Instructor(s): Instructor TBA; 
Semester: Fall 2023; Course: 48400; Title: Architecture Design Studio: Praxis Studio 3; Units: 18.0; Lec/Sec: E; Days: TR; Begin: 01:00PM; End: 04:50PM; Bldg/Room: MM 312; Location: Pittsburgh, Pennsylvania; Instructor(s): Instructor TBA; 
Semester: Fall 2023; Course: 48409; Title: History and Future of Interaction Design; Units: 9.0; Lec/Sec: A; Days: MW; Begin: 11:00AM; End: 12:20PM; Bldg/Room: MM 107; Location: Pittsburgh, Pennsylvania; Instructor(s): Pangaro; 
Semester: Fall 2023; Course: 48432; Title: Environment II: Design Integration of Active Building Systems; Units: 9.0; Lec/Sec: A; Days: TR; Begin: 09:30AM; End: 10:50AM; Bldg/Room: MM 103; Location: Pittsburgh, Pennsylvania; Instructor(s): Baird; 
Semester: Fall 2023; Course: 48434; Title: Aztec to Zacatecas: Mesoamerican & Spanish Colonial Arch of Mexico & Guatemala; Units: 9.0; Lec/Sec: A; Days: TR; Begin: 11:00AM; End: 12:20PM; Bldg/Room: CFA 102; Location: Pittsburgh, Pennsylvania; Instructor(s): Shaw; 
Semester: Fall 2023; Course: 48490; Title: Undergraduate Internship; Units: 3.0; Lec/Sec: A; Days: TBA; Begin: ; End: ; Bldg/Room: DNM DNM; Location: Pittsburgh, Pennsylvania; Instructor(s): Instructor TBA; 
Semester: Fall 2023; Course: 48500; Title: Advanced Synthesis Options Studio; Units: 0,18; Lec/Sec: Lec; Days: TR; Begin: 01:00PM; End: 03:20PM; Bldg/Room: MM 103; Location: Pittsburgh, Pennsylvania; Instructor(s): Arscott; 
Semester: Fall 2023; Course: 48500; Title: Advanced Synthesis Options Studio; Units: 0,18; Lec/Sec: A; Days: TR; Begin: 01:00PM; End: 04:50PM; Bldg/Room: MM 312; Location: Pittsburgh, Pennsylvania; Instructor(s): Arscott; 
Semester: Fall 2023; Course: 48500; Title: Advanced Synthesis Options Studio; Units: 0,18; Lec/Sec: B; Days: TR; Begin: 01:00PM; End: 04:50PM; Bldg/Room: MM 312; Location: Pittsburgh, Pennsylvania; Instructor(s): Byrne; 
Semester: Fall 2023; Course: 48500; Title: Advanced Synthesis Options Studio; Units: 0,18; Lec/Sec: C; Days: TR; Begin: 01:00PM; End: 04:50PM; Bldg/Room: MM 312; Location: Pittsburgh, Pennsylvania; Instructor(s): Chen; 
Semester: Fall 2023; Course: 48500; Title: Advanced Synthesis Options Studio; Units: 0,18; Lec/Sec: D; Days: TR; Begin: 01:00PM; End: 04:50PM; Bldg/Room: MM 312; Location: Pittsburgh, Pennsylvania; Instructor(s): Ficca; 
Semester: Fall 2023; Course: 48500; Title: Advanced Synthesis Options Studio; Units: 0,18; Lec/Sec: E; Days: TR; Begin: 01:00PM; End: 04:50PM; Bldg/Room: MM 312; Location: Pittsburgh, Pennsylvania; Instructor(s): Yang; 
Semester: Fall 2023; Course: 48500; Title: Advanced Synthesis Options Studio; Units: 0,18; Lec/Sec: F; Days: TR; Begin: 01:00PM; End: 04:50PM; Bldg/Room: MM 312; Location: Pittsburgh, Pennsylvania; Instructor(s): Instructor TBA; 
Semester: Fall 2023; Course: 48500; Title: Advanced Synthesis Options Studio; Units: 0,18; Lec/Sec: G; Days: TR; Begin: 01:00PM; End: 04:50PM; Bldg/Room: MM 312; Location: Pittsburgh, Pennsylvania; Instructor(s): Instructor TBA; 
Semester: Fall 2023; Course: 48500; Title: Advanced Synthesis Options Studio; Units: 0,18; Lec/Sec: H; Days: TR; Begin: 01:00PM; End: 04:50PM; Bldg/Room: MM 312; Location: Pittsburgh, Pennsylvania; Instructor(s): Instructor TBA; 
Semester: Fall 2023; Course: 48509; Title: Architecture Design Studio: Thesis I/ Independent Project; Units: 18.0; Lec/Sec: A; Days: TBA; Begin: ; End: ; Bldg/Room: DNM DNM; Location: Pittsburgh, Pennsylvania; Instructor(s): Instructor TBA; 
Semester: Fall 2023; Course: 48525; Title: Thesis Seminar; Units: 9.0; Lec/Sec: A; Days: MW; Begin: 11:00AM; End: 12:20PM; Bldg/Room: MM 409; Location: Pittsburgh, Pennsylvania; Instructor(s): Torello; 
Semester: Fall 2023; Course: 48531; Title: Fabricating Customization: Prototype; Units: 9.0; Lec/Sec: A; Days: MF; Begin: 09:30AM; End: 10:50AM; Bldg/Room: MM C4; Location: Pittsburgh, Pennsylvania; Instructor(s): Ficca; 
Semester: Fall 2023; Course: 48555; Title: Introduction to Architectural Robotics:; Units: 9.0; Lec/Sec: ; Days: ; Begin: ; End: ; Bldg/Room: ; Location: ; 
Semester: Fall 2023; Course: 48555; Title: Introduction to Architectural Robotics; Units: 9.0; Lec/Sec: A; Days: MW; Begin: 02:00PM; End: 03:50PM; Bldg/Room: MM C4; Location: Pittsburgh, Pennsylvania; Instructor(s): Bard; 
Semester: Fall 2023; Course: 48560; Title: Histories of Urban Design:; Units: 9.0; Lec/Sec: ; Days: ; Begin: ; End: ; Bldg/Room: ; Location: ; 
Semester: Fall 2023; Course: 48560; Title: Histories of Urban Design; Units: 9.0; Lec/Sec: A; Days: TR; Begin: 03:30PM; End: 04:50PM; Bldg/Room: CFA 102; Location: Pittsburgh, Pennsylvania; Instructor(s): Shaw; 
Semester: Fall 2023; Course: 48568; Title: Advanced CAD, BIM, and 3D Visualization; Units: VAR; Lec/Sec: A; Days: TR; Begin: 09:30AM; End: 10:50AM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; Instructor(s): Kurland; 
Semester: Fall 2023; Course: 48599; Title: Independent Study; Units: 3-9; Lec/Sec: A; Days: TBA; Begin: ; End: ; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; Instructor(s): Arscott; 
Semester: Fall 2023; Course: 48599; Title: Independent Study; Units: 3-9; Lec/Sec: B; Days: TBA; Begin: ; End: ; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; Instructor(s): Abraham; 
Semester: Fall 2023; Course: 48599; Title: Independent Study; Units: 3-9; Lec/Sec: C; Days: TBA; Begin: ; End: ; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; Instructor(s): Instructor TBA; 
Semester: Fall 2023; Course: 48599; Title: Independent Study; Units: 3-9; Lec/Sec: D; Days: TBA; Begin: ; End: ; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; Instructor(s): Instructor TBA; 
Semester: Fall 2023; Course: 48599; Title: Independent Study; Units: 3-9; Lec/Sec: E; Days: TBA; Begin: ; End: ; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; Instructor(s): Instructor TBA; 
Semester: Fall 2023; Course: 48607; Title: Architectural Agency; Units: VAR; Lec/Sec: A; Days: W; Begin: 09:30AM; End: 10:50AM; Bldg/Room: OFF CAMPUS; Location: Pittsburgh, Pennsylvania; Instructor(s): Issaias; 
Semester: Fall 2023; Course: 48607; Title: Architectural Agency; Units: VAR; Lec/Sec: B; Days: W; Begin: 10:30AM; End: 11:50AM; Bldg/Room: OFF CAMPUS; Location: Pittsburgh, Pennsylvania; Instructor(s): Issaias; 
Semester: Fall 2023; Course: 48610; Title: Prototyping Stories: Experimental Children's Book and Vis Dev as An Architectura; Units: 9.0; Lec/Sec: A; Days: M; Begin: 11:00AM; End: 12:20PM; Bldg/Room: CFA 211; Location: Pittsburgh, Pennsylvania; Instructor(s): Yang; 
